vehicle_id,title,make,model,year,link,image_link,exterior_color,additional_image_link,trim,offer_disclaimer,offer_disclaimer_url,offer_type,term_length,offer_term_qualifier,amount_price,amount_percentage,amount_qualifier,downpayment,downpayment_qualifier,emission_disclaimer,emission_disclaimer_url,emission_overlay_disclaimer,emission_image_link
alfa-junior-ibrida,Alfa Romeo Junior Ibrida,Alfa Romeo,Junior,2026,https://www.alfaromeo.pl/modele/junior-ibrida,https://www.alfaromeo.pl/content/dam/alfa/cross/junior-ibrida/figurini/AR_ALFAROMEOJUNIOR_MHEV_MY24_figurini_speciale.png.png,,,Ibrida,"** Oferta abonamentu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA JUNIOR: cena katalogowa brutto 133800 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 896 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA SPRINT: cena katalogowa brutto 140200 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 937 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA Q4 SPRINT: cena katalogowa brutto 153000 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1021 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA TI: cena katalogowa brutto 146600 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 979 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA Q4 TI: cena katalogowa brutto 159400 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1062 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA SPORT SPECIALE: cena katalogowa brutto 153000 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1021 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA Q4 SPORT SPECIALE: cena katalogowa brutto 163500 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1247 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera Alfy Romeo. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności",https://www.alfaromeo.pl/modele/junior-ibrida,LEASE,24,months,896 zł netto/mies.,,per month,20%,percentage,,,,
alfa-junior-ibrida-sprint,Alfa Romeo Junior Ibrida Sprint,Alfa Romeo,Junior,2026,https://www.alfaromeo.pl/modele/junior-ibrida,https://www.alfaromeo.pl/content/dam/alfa/cross/junior-ibrida/figurini/AR_ALFAROMEOJUNIOR_MHEV_MY24_figurini_speciale.png.png,,,Ibrida Sprint,"** Oferta abonamentu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA JUNIOR: cena katalogowa brutto 133800 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 896 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA SPRINT: cena katalogowa brutto 140200 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 937 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA Q4 SPRINT: cena katalogowa brutto 153000 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1021 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA TI: cena katalogowa brutto 146600 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 979 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA Q4 TI: cena katalogowa brutto 159400 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1062 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA SPORT SPECIALE: cena katalogowa brutto 153000 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1021 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA Q4 SPORT SPECIALE: cena katalogowa brutto 163500 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1247 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera Alfy Romeo. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności",https://www.alfaromeo.pl/modele/junior-ibrida,LEASE,24,months,937 zł netto/mies.,,per month,20%,percentage,,,,
alfa-junior-ibrida-q4-sprint,Alfa Romeo Junior Ibrida Q4 Sprint,Alfa Romeo,Junior,2026,https://www.alfaromeo.pl/modele/junior-ibrida,https://www.alfaromeo.pl/content/dam/alfa/cross/junior-ibrida/figurini/AR_ALFAROMEOJUNIOR_MHEV_MY24_figurini_speciale.png.png,,,Ibrida Q4 Sprint,"** Oferta abonamentu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA JUNIOR: cena katalogowa brutto 133800 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 896 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA SPRINT: cena katalogowa brutto 140200 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 937 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA Q4 SPRINT: cena katalogowa brutto 153000 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1021 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA TI: cena katalogowa brutto 146600 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 979 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA Q4 TI: cena katalogowa brutto 159400 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1062 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA SPORT SPECIALE: cena katalogowa brutto 153000 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1021 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA Q4 SPORT SPECIALE: cena katalogowa brutto 163500 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1247 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera Alfy Romeo. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności",https://www.alfaromeo.pl/modele/junior-ibrida,LEASE,24,months,1021 zł netto/mies.,,per month,20%,percentage,,,,
alfa-junior-ibrida-ti,Alfa Romeo Junior Ibrida TI,Alfa Romeo,Junior,2026,https://www.alfaromeo.pl/modele/junior-ibrida,https://www.alfaromeo.pl/content/dam/alfa/cross/junior-ibrida/figurini/AR_ALFAROMEOJUNIOR_MHEV_MY24_figurini_speciale.png.png,,,Ibrida TI,"** Oferta abonamentu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA JUNIOR: cena katalogowa brutto 133800 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 896 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA SPRINT: cena katalogowa brutto 140200 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 937 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA Q4 SPRINT: cena katalogowa brutto 153000 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1021 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA TI: cena katalogowa brutto 146600 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 979 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA Q4 TI: cena katalogowa brutto 159400 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1062 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA SPORT SPECIALE: cena katalogowa brutto 153000 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1021 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA Q4 SPORT SPECIALE: cena katalogowa brutto 163500 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1247 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera Alfy Romeo. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności",https://www.alfaromeo.pl/modele/junior-ibrida,LEASE,24,months,979 zł netto/mies.,,per month,20%,percentage,,,,
alfa-junior-ibrida-q4-ti,Alfa Romeo Junior Ibrida Q4 TI,Alfa Romeo,Junior,2026,https://www.alfaromeo.pl/modele/junior-ibrida,https://www.alfaromeo.pl/content/dam/alfa/cross/junior-ibrida/figurini/AR_ALFAROMEOJUNIOR_MHEV_MY24_figurini_speciale.png.png,,,Ibrida Q4 TI,"** Oferta abonamentu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA JUNIOR: cena katalogowa brutto 133800 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 896 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA SPRINT: cena katalogowa brutto 140200 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 937 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA Q4 SPRINT: cena katalogowa brutto 153000 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1021 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA TI: cena katalogowa brutto 146600 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 979 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA Q4 TI: cena katalogowa brutto 159400 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1062 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA SPORT SPECIALE: cena katalogowa brutto 153000 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1021 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA Q4 SPORT SPECIALE: cena katalogowa brutto 163500 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1247 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera Alfy Romeo. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności",https://www.alfaromeo.pl/modele/junior-ibrida,LEASE,24,months,1062 zł netto/mies.,,per month,20%,percentage,,,,
alfa-junior-ibrida-sport-speciale,Alfa Romeo Junior Ibrida Sport Speciale,Alfa Romeo,Junior,2026,https://www.alfaromeo.pl/modele/junior-ibrida,https://www.alfaromeo.pl/content/dam/alfa/cross/junior-ibrida/figurini/AR_ALFAROMEOJUNIOR_MHEV_MY24_figurini_speciale.png.png,,,Ibrida Sport Speciale,"** Oferta abonamentu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA JUNIOR: cena katalogowa brutto 133800 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 896 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA SPRINT: cena katalogowa brutto 140200 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 937 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA Q4 SPRINT: cena katalogowa brutto 153000 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1021 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA TI: cena katalogowa brutto 146600 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 979 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA Q4 TI: cena katalogowa brutto 159400 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1062 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA SPORT SPECIALE: cena katalogowa brutto 153000 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1021 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA Q4 SPORT SPECIALE: cena katalogowa brutto 163500 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1247 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera Alfy Romeo. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności",https://www.alfaromeo.pl/modele/junior-ibrida,LEASE,24,months,1021 zł netto/mies.,,per month,20%,percentage,,,,
alfa-junior-ibrida-q4-sport-speciale,Alfa Romeo Junior Ibrida Q4 Sport Speciale,Alfa Romeo,Junior,2026,https://www.alfaromeo.pl/modele/junior-ibrida,https://www.alfaromeo.pl/content/dam/alfa/cross/junior-ibrida/figurini/AR_ALFAROMEOJUNIOR_MHEV_MY24_figurini_speciale.png.png,,,Ibrida Q4 Sport Speciale,"** Oferta abonamentu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA JUNIOR: cena katalogowa brutto 133800 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 896 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA SPRINT: cena katalogowa brutto 140200 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 937 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA Q4 SPRINT: cena katalogowa brutto 153000 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1021 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA TI: cena katalogowa brutto 146600 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 979 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA Q4 TI: cena katalogowa brutto 159400 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1062 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA SPORT SPECIALE: cena katalogowa brutto 153000 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1021 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 1.2 Mild-Hybrid 145 KM - IBRIDA Q4 SPORT SPECIALE: cena katalogowa brutto 163500 zł, okres leasingu 24 miesięcy i roczny przebieg 15.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1247 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera Alfy Romeo. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności",https://www.alfaromeo.pl/modele/junior-ibrida,LEASE,24,months,1247 zł netto/mies.,,per month,20%,percentage,,,,
alfa-junior-elettrica-sprint,Alfa Romeo Junior Elettrica Sprint,Alfa Romeo,Junior,2026,https://www.alfaromeo.pl/modele/junior-elettrica,https://www.alfaromeo.pl/content/dam/alfa/cross/milano-elettrica/figurini/AR-Home-Trim-Junior-Elettrica.png,,,Elettrica Sprint,"** Oferta abonamentu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji modelu JUNIOR 54 kWh 156 KM ELETTRICA (BEV): cena katalogowa brutto 173200 zł, okres leasingu 25 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 25%, miesięczna rata leasingowa netto: 770 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 54 kWh 156 KM - ELETTRICA SPRINT: cena katalogowa brutto 179600 zł, okres leasingu 25 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 24%, miesięczna rata leasingowa netto: 1042 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 54 kWh 156 KM - ELETTRICA TI: cena katalogowa brutto 186000 zł, okres leasingu 25 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 23%, miesięczna rata leasingowa netto: 1127 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 54 kWh 156 KM - ELETTRICA SPORT SPECIALE: cena katalogowa brutto 192400 zł, okres leasingu 25 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 22%, miesięczna rata leasingowa netto: 1212 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 54 kWh 280 KM - ELETTRICA VELOCE: cena katalogowa brutto 215200 zł, okres leasingu 25 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1513 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera Alfy Romeo. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności",https://www.alfaromeo.pl/modele/junior-elettrica,LEASE,25,months,1042 zł netto/mies.,,per month,24%,percentage,,,,
alfa-junior-elettrica-ti,Alfa Romeo Junior Elettrica TI,Alfa Romeo,Junior,2026,https://www.alfaromeo.pl/modele/junior-elettrica,https://www.alfaromeo.pl/content/dam/alfa/cross/milano-elettrica/figurini/AR-Home-Trim-Junior-Elettrica.png,,,Elettrica TI,"** Oferta abonamentu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji modelu JUNIOR 54 kWh 156 KM ELETTRICA (BEV): cena katalogowa brutto 173200 zł, okres leasingu 25 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 25%, miesięczna rata leasingowa netto: 770 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 54 kWh 156 KM - ELETTRICA SPRINT: cena katalogowa brutto 179600 zł, okres leasingu 25 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 24%, miesięczna rata leasingowa netto: 1042 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 54 kWh 156 KM - ELETTRICA TI: cena katalogowa brutto 186000 zł, okres leasingu 25 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 23%, miesięczna rata leasingowa netto: 1127 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 54 kWh 156 KM - ELETTRICA SPORT SPECIALE: cena katalogowa brutto 192400 zł, okres leasingu 25 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 22%, miesięczna rata leasingowa netto: 1212 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 54 kWh 280 KM - ELETTRICA VELOCE: cena katalogowa brutto 215200 zł, okres leasingu 25 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1513 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera Alfy Romeo. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności",https://www.alfaromeo.pl/modele/junior-elettrica,LEASE,25,months,1127 zł netto/mies.,,per month,23%,percentage,,,,
alfa-junior-elettrica,Alfa Romeo Junior Elettrica,Alfa Romeo,Junior,2026,https://www.alfaromeo.pl/modele/junior-elettrica,https://www.alfaromeo.pl/content/dam/alfa/cross/milano-elettrica/figurini/AR-Home-Trim-Junior-Elettrica.png,,,Elettrica,"** Oferta abonamentu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji modelu JUNIOR 54 kWh 156 KM ELETTRICA (BEV): cena katalogowa brutto 173200 zł, okres leasingu 25 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 25%, miesięczna rata leasingowa netto: 770 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 54 kWh 156 KM - ELETTRICA SPRINT: cena katalogowa brutto 179600 zł, okres leasingu 25 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 24%, miesięczna rata leasingowa netto: 1042 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 54 kWh 156 KM - ELETTRICA TI: cena katalogowa brutto 186000 zł, okres leasingu 25 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 23%, miesięczna rata leasingowa netto: 1127 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 54 kWh 156 KM - ELETTRICA SPORT SPECIALE: cena katalogowa brutto 192400 zł, okres leasingu 25 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 22%, miesięczna rata leasingowa netto: 1212 zł. Założenia przyjęte do kalkulacji modelu JUNIOR 54 kWh 280 KM - ELETTRICA VELOCE: cena katalogowa brutto 215200 zł, okres leasingu 25 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 20%, miesięczna rata leasingowa netto: 1513 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera Alfy Romeo. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności",https://www.alfaromeo.pl/modele/junior-elettrica,LEASE,25,months,1212 zł netto/mies.,,per month,22%,percentage,,,,
