vehicle_id,title,description,link,image_link,make,model,year,mileage.value,mileage.unit,body_style,exterior_color,state_of_vehicle,price,currency,address,latitude,longitude,offer_type,amount_price,amount_qualifier,fuel_type,transmission,drivetrain
243392,Ducato Furgon · od 793 PLN/mies.,Fiat Professional Ducato Furgon · Rata od 793 PLN netto/mies. · Leasing B2B · SZCZECIN · Sprawdź ofertę!,https://salon.fiatprofessional.pl/oferta/243392,https://cdn.fcapoland.pl/uploads/77/243392/d1c84c68dd06cce4b284805f656a2549.jpg,Fiat Professional,Ducato,2026,0,KM,Van,Biały,New,127802 PLN,PLN,"{""addr1"": ""USTOWO 57"", ""city"": ""SZCZECIN"", ""region"": ""ZACHODNIOPOMORSKIE"", ""country"": ""PL"", ""postal_code"": ""71-001""}",53.38756,14.498444,LEASE,793 PLN,per month,Diesel,Manual,FWD
243218,Ducato Furgon · od 881 PLN/mies.,Fiat Professional Ducato Furgon · Rata od 881 PLN netto/mies. · Leasing B2B · WARSZAWA · Sprawdź ofertę!,https://salon.fiatprofessional.pl/oferta/243218,https://cdn.fcapoland.pl/uploads/77/243218/b0e992bde58dba945f0eff8984c67eab.jpg,Fiat Professional,Ducato,2026,0,KM,Van,Szary Lanzarote,New,142188 PLN,PLN,"{""addr1"": ""UL. RADZYMIŃSKA 112"", ""city"": ""WARSZAWA"", ""region"": ""MAZOWIECKIE"", ""country"": ""PL"", ""postal_code"": ""03-574""}",52.26811,21.06277,LEASE,881 PLN,per month,Diesel,Manual,FWD
243026,Ducato Furgon · od 1125 PLN/mies.,Fiat Professional Ducato Furgon · Rata od 1125 PLN netto/mies. · Leasing B2B · SZCZECIN · Sprawdź ofertę!,https://salon.fiatprofessional.pl/oferta/243026,https://cdn.fcapoland.pl/uploads/77/243026/aa3a0187c3380a1666ebaad48042791a.jpg,Fiat Professional,Ducato,2026,0,KM,Van,Szary Lanzarote,New,181990 PLN,PLN,"{""addr1"": ""USTOWO 57"", ""city"": ""SZCZECIN"", ""region"": ""ZACHODNIOPOMORSKIE"", ""country"": ""PL"", ""postal_code"": ""71-001""}",53.38756,14.498444,LEASE,1125 PLN,per month,Diesel,Manual,FWD
243016,Ducato Furgon · od 962 PLN/mies.,Fiat Professional Ducato Furgon · Rata od 962 PLN netto/mies. · Leasing B2B · SZCZECIN · Sprawdź ofertę!,https://salon.fiatprofessional.pl/oferta/243016,https://cdn.fcapoland.pl/uploads/77/243016/f17fb91e64f650d98a0a3b69e110b480.jpg,Fiat Professional,Ducato,2026,0,KM,Van,Biały,New,155412 PLN,PLN,"{""addr1"": ""USTOWO 57"", ""city"": ""SZCZECIN"", ""region"": ""ZACHODNIOPOMORSKIE"", ""country"": ""PL"", ""postal_code"": ""71-001""}",53.38756,14.498444,LEASE,962 PLN,per month,Diesel,Manual,FWD
243010,Ducato Furgon · od 1018 PLN/mies.,Fiat Professional Ducato Furgon · Rata od 1018 PLN netto/mies. · Leasing B2B · ZIELONA GORA · Sprawdź ofertę!,https://salon.fiatprofessional.pl/oferta/243010,https://cdn.fcapoland.pl/uploads/77/243010/803690f368233f6f9ec397adfc5e7e93.jpg,Fiat Professional,Ducato,2026,0,KM,Van,Szary Lanzarote,New,164506 PLN,PLN,"{""addr1"": ""UL. ST. BATOREGO 69A"", ""city"": ""ZIELONA GORA"", ""region"": ""LUBUSKIE"", ""country"": ""PL"", ""postal_code"": ""65-735""}",51.952379,15.499634,LEASE,1018 PLN,per month,Diesel,Manual,FWD
242956,Ducato Furgon · od 774 PLN/mies.,Fiat Professional Ducato Furgon · Rata od 774 PLN netto/mies. · Leasing B2B · SZCZECIN · Sprawdź ofertę!,https://salon.fiatprofessional.pl/oferta/242956,https://cdn.fcapoland.pl/uploads/77/242956/f7230c1cf47215b02cae0cfb854fabc0.jpg,Fiat Professional,Ducato,2026,0,KM,Van,Biały,New,124764 PLN,PLN,"{""addr1"": ""USTOWO 57"", ""city"": ""SZCZECIN"", ""region"": ""ZACHODNIOPOMORSKIE"", ""country"": ""PL"", ""postal_code"": ""71-001""}",53.38756,14.498444,LEASE,774 PLN,per month,Diesel,Manual,FWD
242940,Ducato Furgon · od 792 PLN/mies.,Fiat Professional Ducato Furgon · Rata od 792 PLN netto/mies. · Leasing B2B · NOWY TARG · Sprawdź ofertę!,https://salon.fiatprofessional.pl/oferta/242940,https://cdn.fcapoland.pl/uploads/77/242940/eb78acf510c3fb21bfaa498e86c09969.jpg,Fiat Professional,Ducato,2026,0,KM,Van,Biały,New,127662 PLN,PLN,"{""addr1"": ""UL. KRAKOWSKA 3"", ""city"": ""NOWY TARG"", ""region"": ""MAŁOPOLSKIE"", ""country"": ""PL"", ""postal_code"": ""34-400""}",49.45445,20.01966,LEASE,792 PLN,per month,Diesel,Manual,FWD
242939,Ducato Furgon · od 792 PLN/mies.,Fiat Professional Ducato Furgon · Rata od 792 PLN netto/mies. · Leasing B2B · NOWY TARG · Sprawdź ofertę!,https://salon.fiatprofessional.pl/oferta/242939,https://cdn.fcapoland.pl/uploads/77/242939/a9bfcc76131a4d86c609472de5d31025.jpg,Fiat Professional,Ducato,2026,0,KM,Van,Biały,New,127662 PLN,PLN,"{""addr1"": ""UL. KRAKOWSKA 3"", ""city"": ""NOWY TARG"", ""region"": ""MAŁOPOLSKIE"", ""country"": ""PL"", ""postal_code"": ""34-400""}",49.45445,20.01966,LEASE,792 PLN,per month,Diesel,Manual,FWD
242933,Ducato Furgon · od 815 PLN/mies.,Fiat Professional Ducato Furgon · Rata od 815 PLN netto/mies. · Leasing B2B · KATOWICE · Sprawdź ofertę!,https://salon.fiatprofessional.pl/oferta/242933,https://cdn.fcapoland.pl/uploads/77/242933/bc44ad02c55298bab9be59238005f833.jpg,Fiat Professional,Ducato,2026,0,KM,Van,Biały,New,131487 PLN,PLN,"{""addr1"": ""UL. KOSCIUSZKI 261"", ""city"": ""KATOWICE"", ""region"": ""ŚLĄSKIE"", ""country"": ""PL"", ""postal_code"": ""40-690""}",50.209822,18.965429,LEASE,815 PLN,per month,Diesel,Manual,FWD
242932,Ducato Furgon · od 815 PLN/mies.,Fiat Professional Ducato Furgon · Rata od 815 PLN netto/mies. · Leasing B2B · KATOWICE · Sprawdź ofertę!,https://salon.fiatprofessional.pl/oferta/242932,https://cdn.fcapoland.pl/uploads/77/242932/1_render.png,Fiat Professional,Ducato,2026,0,KM,Van,Biały,New,131487 PLN,PLN,"{""addr1"": ""UL. KOSCIUSZKI 261"", ""city"": ""KATOWICE"", ""region"": ""ŚLĄSKIE"", ""country"": ""PL"", ""postal_code"": ""40-690""}",50.209822,18.965429,LEASE,815 PLN,per month,Diesel,Manual,FWD
