vehicle_id,title,description,link,image_link,make,model,year,mileage.value,mileage.unit,body_style,exterior_color,state_of_vehicle,price,currency,address,latitude,longitude,offer_type,amount_price,amount_qualifier,fuel_type,transmission,drivetrain
VF3YDG8F8TG002248,Boxer Base · od 2214 PLN/mies.,Peugeot Boxer Base · Rata od 2214 PLN netto/mies. · Leasing B2B · Kalisz · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/boxer/vf3ydg8f8tg002248/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VF3YDG8F8TG002248_clean.webp,Peugeot,Boxer,2025,0,KM,Hatchback,Szary Artense Steel,New, PLN,PLN,"{""addr1"": ""UL. CZĘSTOCHOWSKA 144"", ""city"": ""KALISZ"", ""region"": ""WIELKOPOLSKIE"", ""country"": ""PL""}",51.7612,18.0929,LEASE,2214 PLN,per month,Diesel,Automatic,FWD
VF3YDG8F6SG057392,Boxer Base · od 2238 PLN/mies.,Peugeot Boxer Base · Rata od 2238 PLN netto/mies. · Leasing B2B · Wrocław · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/boxer/vf3ydg8f6sg057392/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VF3YDG8F6SG057392_clean.webp,Peugeot,Boxer,2025,0,KM,Hatchback,Szary Expedition,New, PLN,PLN,"{""addr1"": ""UL. SZCZECIŃSKA 7"", ""city"": ""WROCŁAW"", ""region"": ""DOLNOŚLĄSKIE"", ""country"": ""PL""}",51.1274,16.9535,LEASE,2238 PLN,per month,Diesel,Automatic,FWD
VR3EDYHZ9TJ628504,Partner Furgon Xl · od 1668 PLN/mies.,Peugeot Partner Furgon Xl · Rata od 1668 PLN netto/mies. · Leasing B2B · Sosnowiec · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/partner/vr3edyhz9tj628504/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VR3EDYHZ9TJ628504_clean.webp,Peugeot,Partner,2025,0,KM,Van,Szary Artense,New,1656 PLN,PLN,"{""addr1"": ""UL. WOJSKA POLSKIEGO 45"", ""city"": ""SOSNOWIEC"", ""region"": ""ŚLĄSKIE"", ""country"": ""PL""}",50.2863,19.1042,LEASE,1668 PLN,per month,Diesel,Automatic,FWD
VF3VPFC35TU427171,Expert Furgon M · od 1978 PLN/mies.,Peugeot Expert Furgon M · Rata od 1978 PLN netto/mies. · Leasing B2B · Warszawa · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/expert/vf3vpfc35tu427171/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VF3VPFC35TU427171_clean.webp,Peugeot,Expert,2025,0,KM,Hatchback,Szary Artense Metaliczny,New,2023 PLN,PLN,"{""addr1"": ""AL. KRAKOWSKA 206"", ""city"": ""WARSZAWA"", ""region"": ""MAZOWIECKIE"", ""country"": ""PL""}",52.2084,20.9412,LEASE,1978 PLN,per month,Diesel,Automatic,FWD
VF3VPFC36TU426238,Expert Furgon Brygadowy Skladany Xl · od 2236 PLN/mies.,Peugeot Expert Furgon Brygadowy Skladany Xl · Rata od 2236 PLN netto/mies. · Leasing B2B · Łódź · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/expert/vf3vpfc36tu426238/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VF3VPFC36TU426238_clean.webp,Peugeot,Expert,2025,0,KM,Van,B0Mm0B B0Ngris Titaneb,New,2287 PLN,PLN,"{""addr1"": ""UL. OBYWATELSKA 181"", ""city"": ""ŁÓDŹ"", ""region"": ""ŁÓDZKIE"", ""country"": ""PL""}",51.7371,19.4316,LEASE,2236 PLN,per month,Diesel,Manual,FWD
VF3YDG6A5TMC87633,Boxer Podwozie Base · od 2058 PLN/mies.,Peugeot Boxer Podwozie Base · Rata od 2058 PLN netto/mies. · Leasing B2B · Sosnowiec · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/boxer-podwozie-do-zabudowy-2/vf3ydg6a5tmc87633/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VF3YDG6A5TMC87633_clean.jpg,Peugeot,Boxer Podwozie,2025,0,KM,Hatchback,Szary Lanzarote Thunder,New, PLN,PLN,"{""addr1"": ""UL. WOJSKA POLSKIEGO 45"", ""city"": ""SOSNOWIEC"", ""region"": ""ŚLĄSKIE"", ""country"": ""PL""}",50.2863,19.1042,LEASE,2058 PLN,per month,Diesel,Manual,FWD
VF3YDG6A2TMC87489,Boxer Podwozie Base · od 2058 PLN/mies.,Peugeot Boxer Podwozie Base · Rata od 2058 PLN netto/mies. · Leasing B2B · Sosnowiec · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/boxer-podwozie-do-zabudowy-2/vf3ydg6a2tmc87489/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VF3YDG6A2TMC87489_clean.jpg,Peugeot,Boxer Podwozie,2025,0,KM,Hatchback,Szary Lanzarote Thunder,New, PLN,PLN,"{""addr1"": ""UL. WOJSKA POLSKIEGO 45"", ""city"": ""SOSNOWIEC"", ""region"": ""ŚLĄSKIE"", ""country"": ""PL""}",50.2863,19.1042,LEASE,2058 PLN,per month,Diesel,Manual,FWD
VF3YDG8F2TG028666,Boxer Base · od 2311 PLN/mies.,Peugeot Boxer Base · Rata od 2311 PLN netto/mies. · Leasing B2B · Warszawa · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/boxer/vf3ydg8f2tg028666/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VF3YDG8F2TG028666_clean.webp,Peugeot,Boxer,2025,0,KM,Hatchback,Bialy Icy,New, PLN,PLN,"{""addr1"": ""AL. KRAKOWSKA 206"", ""city"": ""WARSZAWA"", ""region"": ""MAZOWIECKIE"", ""country"": ""PL""}",52.2084,20.9412,LEASE,2311 PLN,per month,Diesel,Automatic,FWD
VF3VPFC31TZ019530,Expert Furgon Xl · od 1859 PLN/mies.,Peugeot Expert Furgon Xl · Rata od 1859 PLN netto/mies. · Leasing B2B · Warszawa · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/expert/vf3vpfc31tz019530/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VF3VPFC31TZ019530_clean.webp,Peugeot,Expert,2025,0,KM,Van,Bialy Icy Lakier Bazowy,New,1793 PLN,PLN,"{""addr1"": ""AL. KRAKOWSKA 206"", ""city"": ""WARSZAWA"", ""region"": ""MAZOWIECKIE"", ""country"": ""PL""}",52.2084,20.9412,LEASE,1859 PLN,per month,Diesel,Manual,FWD
VF3VPFC12TZ038506,Expert Furgon Xl · od 2065 PLN/mies.,Peugeot Expert Furgon Xl · Rata od 2065 PLN netto/mies. · Leasing B2B · Gorzów Wielkopolski · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/expert/vf3vpfc12tz038506/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VF3VPFC12TZ038506_clean.webp,Peugeot,Expert,2025,0,KM,Van,Szary Artense Metaliczny,New,2063 PLN,PLN,"{""addr1"": ""AL. KRAKOWSKA 206"", ""city"": ""GORZÓW WIELKOPOLSKI"", ""region"": ""MAZOWIECKIE"", ""country"": ""PL""}",52.2084,20.9412,LEASE,2065 PLN,per month,Diesel,Automatic,FWD
