vehicle_id,title,description,link,image_link,make,model,year,mileage.value,mileage.unit,body_style,exterior_color,state_of_vehicle,price,currency,address,latitude,longitude,offer_type,amount_price,amount_qualifier,fuel_type,transmission,drivetrain
VF3VNFC16TZ062894,Traveller Business Vip · od 1821 PLN/mies.,Peugeot Traveller Business Vip · Rata od 1821 PLN netto/mies. · Leasing B2B · Stare Bielice · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/traveller/vf3vnfc16tz062894/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VF3VNFC16TZ062894_clean.jpg,Peugeot,Traveller,2025,0,KM,Hatchback,Czarny Perla Nera Metaliczny,New,247775 PLN,PLN,"{""addr1"": ""STARE BIELICE"", ""city"": ""STARE BIELICE"", ""region"": ""MAZOWIECKIE"", ""country"": ""PL""}",,,LEASE,1821 PLN,per month,Diesel,Automatic,FWD
VF3VNFC19TZ062887,Traveller Business Vip · od 1821 PLN/mies.,Peugeot Traveller Business Vip · Rata od 1821 PLN netto/mies. · Leasing B2B · Poznań · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/traveller/vf3vnfc19tz062887/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VF3VNFC19TZ062887_clean.jpg,Peugeot,Traveller,2025,0,KM,Hatchback,Zielony Kapari Metaliczny,New,247775 PLN,PLN,"{""addr1"": ""UL. BOLESŁAWA KRZYWOUSTEGO 71"", ""city"": ""POZNAŃ"", ""region"": ""WIELKOPOLSKIE"", ""country"": ""PL""}",52.3787,17.0270,LEASE,1821 PLN,per month,Diesel,Automatic,FWD
VF3VNFC15TZ062885,Traveller Business Vip · od 1821 PLN/mies.,Peugeot Traveller Business Vip · Rata od 1821 PLN netto/mies. · Leasing B2B · Wrocław · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/traveller/vf3vnfc15tz062885/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VF3VNFC15TZ062885_clean.jpg,Peugeot,Traveller,2025,0,KM,Hatchback,Zielony Kapari Metaliczny,New,247775 PLN,PLN,"{""addr1"": ""UL. SZCZECIŃSKA 7"", ""city"": ""WROCŁAW"", ""region"": ""DOLNOŚLĄSKIE"", ""country"": ""PL""}",51.1274,16.9535,LEASE,1821 PLN,per month,Diesel,Automatic,FWD
VF3VNFC17TZ062886,Traveller Business Vip · od 1821 PLN/mies.,Peugeot Traveller Business Vip · Rata od 1821 PLN netto/mies. · Leasing B2B · Wrocław · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/traveller/vf3vnfc17tz062886/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VF3VNFC17TZ062886_clean.jpg,Peugeot,Traveller,2025,0,KM,Hatchback,Zielony Kapari Metaliczny,New,247775 PLN,PLN,"{""addr1"": ""UL. SZCZECIŃSKA 7"", ""city"": ""WROCŁAW"", ""region"": ""DOLNOŚLĄSKIE"", ""country"": ""PL""}",51.1274,16.9535,LEASE,1821 PLN,per month,Diesel,Automatic,FWD
VF3VNFC13TU459654,Traveller Business · od 1614 PLN/mies.,Peugeot Traveller Business · Rata od 1614 PLN netto/mies. · Leasing B2B · Katowice · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/traveller/vf3vnfc13tu459654/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VF3VNFC13TU459654_clean.jpg,Peugeot,Traveller,2025,0,KM,Hatchback,Czarny Perla Nera Metaliczny,New,219385 PLN,PLN,"{""addr1"": ""AL. ROŹDZIEŃSKIEGO 170"", ""city"": ""KATOWICE"", ""region"": ""ŚLĄSKIE"", ""country"": ""PL""}",50.2649,19.0238,LEASE,1614 PLN,per month,Diesel,Automatic,FWD
VF3VNFC14TU457718,Traveller Business · od 1571 PLN/mies.,Peugeot Traveller Business · Rata od 1571 PLN netto/mies. · Leasing B2B · Katowice · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/traveller/vf3vnfc14tu457718/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VF3VNFC14TU457718_clean.jpg,Peugeot,Traveller,2025,0,KM,Hatchback,Szary Titane Metaliczny,New,213520 PLN,PLN,"{""addr1"": ""AL. ROŹDZIEŃSKIEGO 170"", ""city"": ""KATOWICE"", ""region"": ""ŚLĄSKIE"", ""country"": ""PL""}",50.2649,19.0238,LEASE,1571 PLN,per month,Diesel,Automatic,FWD
VR3KBDGK6TS122743,Nowy 5008 Gt Exclusive · od 1644 PLN/mies.,Peugeot Nowy 5008 Gt Exclusive · Rata od 1644 PLN netto/mies. · Leasing B2B · Warszawa · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/nowy-5008/vr3kbdgk6ts122743/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VR3KBDGK6TS122743_clean.jpg,Peugeot,Nowy 5008,2025,0,KM,SUV,Czarny Perla Nera Metaliczny,New,223542 PLN,PLN,"{""addr1"": ""AL. KRAKOWSKA 206"", ""city"": ""WARSZAWA"", ""region"": ""MAZOWIECKIE"", ""country"": ""PL""}",52.2084,20.9412,LEASE,1644 PLN,per month,Plug-in Hybrid,Manual,FWD
VR3KBDGK7TS125070,Nowy 5008 Gt Exclusive · od 1644 PLN/mies.,Peugeot Nowy 5008 Gt Exclusive · Rata od 1644 PLN netto/mies. · Leasing B2B · Katowice · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/nowy-5008/vr3kbdgk7ts125070/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VR3KBDGK7TS125070_clean.jpg,Peugeot,Nowy 5008,2025,0,KM,SUV,Czarny Perla Nera Metaliczny,New,223542 PLN,PLN,"{""addr1"": ""AL. ROŹDZIEŃSKIEGO 170"", ""city"": ""KATOWICE"", ""region"": ""ŚLĄSKIE"", ""country"": ""PL""}",50.2649,19.0238,LEASE,1644 PLN,per month,Plug-in Hybrid,Manual,FWD
VR3KBDGK7TS122556,Nowy 5008 Gt Exclusive · od 1630 PLN/mies.,Peugeot Nowy 5008 Gt Exclusive · Rata od 1630 PLN netto/mies. · Leasing B2B · Kraków · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/nowy-5008/vr3kbdgk7ts122556/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VR3KBDGK7TS122556_clean.jpg,Peugeot,Nowy 5008,2025,0,KM,SUV,Bialy Okenite Metaliczny Specjalny,New,221540 PLN,PLN,"{""addr1"": ""UL. OPOLSKA 9"", ""city"": ""KRAKÓW"", ""region"": ""MAŁOPOLSKIE"", ""country"": ""PL""}",50.0931,19.9238,LEASE,1630 PLN,per month,Plug-in Hybrid,Manual,FWD
VR3KBDGK5TS122555,Nowy 5008 Gt Exclusive · od 1630 PLN/mies.,Peugeot Nowy 5008 Gt Exclusive · Rata od 1630 PLN netto/mies. · Leasing B2B · Białystok · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/nowy-5008/vr3kbdgk5ts122555/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VR3KBDGK5TS122555_clean.jpg,Peugeot,Nowy 5008,2025,0,KM,SUV,Bialy Okenite Metaliczny Specjalny,New,221540 PLN,PLN,"{""addr1"": ""UL. ELEWATORSKA 60"", ""city"": ""BIAŁYSTOK"", ""region"": ""PODLASKIE"", ""country"": ""PL""}",53.1325,23.1688,LEASE,1630 PLN,per month,Plug-in Hybrid,Manual,FWD
